uni_name|uni_id|uni_cname|uni_location|uni_cabbr|ip
Takming University of Science and Technology|TMUST|德明財經科技大學|Neihu District, Taipei||
Tung Fang Design University|TFU|東方設計大學|Hunei District, Kaohsiung||
Tzu Chi University of Science and Technology|TCUST|慈濟技術學院|Hualien City, Hualien County||
Wenzao Ursuline University of Languages|WTUC|文藻外語大學|Sanmin District, Kaohsiung|文藻|
Yu Da University of Science and Technology|YDU|育達科技大學|Zaoqiao Township, Miaoli County|育達|
Asia-Pacific Institute of Creativity|APIC|亞太創意技術學院|Toufen Township, Miaoli County||
Ching Kuo Institute of Management and Health|CKIMH|經國管理暨健康學院|Zhongshan District, Keelung||
Dahan Institute of Technology|DAHAN|大漢技術學院|Xincheng Township, Hualien County||
Fortune Institute of Technology|FIT_|和春技術學院|Daliao District, Kaohsiung||
Lan Yang Institute of Technology|FIT_2|蘭陽技術學院|Toucheng Township, Yilan County||
Lee-Ming Institute of Technology|LIT|黎明技術學院|Taishan District, New Taipei||
Oriental Institute of Technology|OIT|亞東技術學院|Banqiao District, New Taipei||
Tatung Institute of Commerce and Technology|TTC|大同技術學院|East District, Chiayi City||
Tzu Hui Institute of Technology|TZUHUI|慈惠醫護管理專科學校|Nanzhou Township, Pingtung County||
Air Force Institute of Technology|AFATS|空軍航空技術學院|Gangshan District, Kaohsiung||
Army Academy R.O.C.|AAROC|陸軍專科學校|Zhongli District, Taoyuan City||
Central Police University|CPU|中央警察大學|Guishan District, Taoyuan City||
National Defense Medical Center|NDMC|國防醫學院|Neihu District, Taipei||
National Defense University|NDU|國防大學|Bade District, Taoyuan City||
Republic of China Air Force Academy|CAFA|中華民國空軍軍官學校|Gangshan District, Kaohsiung||
Republic of China Military Academy|ROCMA|中華民國陸軍軍官學校|Fengshan District, Kaohsiung||
Republic of China Naval Academy|CNA|中華民國海軍軍官學校|Zuoying District, Kaohsiung||
Taiwan Police College|TPC|臺灣警察專科學校|Wenshan District, Taipei||
University of Hong Kong|HKU|香港大學|Hong Kong|港大|
The Chinese University of Hong Kong|CIHK|香港中文大學|Hong Kong|香港中文大學|
